1,0,0,1,1,58,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,0,0,2,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
10,2,2,2,29,242,23,72,0,0,0,0,0,0,0,0,15,158,220,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,3,35,196,51,118,0,0,92,0,1,18,44,0,4,91,60,0,0,3,48
2,0,0,0,6,62,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,11,35,6,107,904,72,315,0,0,0,0,0,0,0,0,18,200,269,0,20,0,0
2,0,1,0,21,88,0,63,0,0,0,0,0,0,0,0,6,128,160,0,0,0,0
8,0,1,1,22,143,7,31,0,0,6,0,1,3,0,0,1,5,5,0,0,1,7
11,1,9,2,96,322,25,203,0,0,0,0,0,0,0,0,15,236,385,0,5,0,0
21,0,5,3,117,329,52,246,0,0,58,0,1,39,63,0,5,110,179,0,1,3,52
21,2,21,1,92,356,4,147,0,0,0,0,0,0,0,0,11,92,100,0,5,0,0
54,41,40,8,155,1277,105,525,0,0,0,0,0,0,0,0,18,262,364,0,24,0,0
40,5,6,9,127,755,136,214,0,0,343,0,5,92,140,0,12,132,135,0,4,3,104
47,40,17,8,142,996,104,401,0,0,0,0,0,0,0,0,18,204,376,0,21,0,0
2,0,1,0,27,72,1,54,0,0,0,0,0,0,0,0,7,75,122,0,0,0,0
9,2,3,0,71,172,0,73,0,0,0,0,0,0,0,0,12,99,120,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3,1,9,214,2,2,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,188,399,0,0,0,0
43,0,2,18,83,476,206,134,0,0,263,0,1,24,80,0,2,54,47,0,1,18,206
3,0,3,0,20,199,0,78,0,0,0,0,0,0,0,0,6,101,152,0,0,0,0
4,1,0,0,6,148,4,20,0,0,0,0,0,0,0,0,11,139,116,0,0,0,0
28,0,2,9,83,413,116,202,0,0,99,0,3,52,127,0,5,144,230,0,4,3,60
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6,0,1,1,15,133,3,14,0,0,2,0,0,0,0,0,0,1,1,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,95,0,0,0,0
147,1252,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0
6,0,1,1,23,147,7,16,0,0,6,0,1,3,0,0,1,5,3,0,0,1,7
56,11,9,13,112,1065,123,270,0,0,141,0,3,43,56,0,6,128,142,0,8,3,68
1,0,0,1,8,55,3,19,0,0,0,0,0,0,0,0,9,115,125,0,0,0,0
54,0,0,0,11,244,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,40,140,1,44,0,0,0,0,0,0,0,0,9,83,64,0,2,0,0
1,0,0,0,10,59,0,7,0,0,0,0,0,0,0,0,0,24,68,0,0,0,0
45,3,2,8,82,555,39,175,0,0,87,0,1,11,40,0,2,27,33,0,1,3,32
11,3,1,3,12,335,11,14,0,0,0,0,0,0,0,0,1,27,16,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,99,120,0,0,0,0
15,11,29,1,123,578,12,199,0,0,0,0,0,0,0,0,7,68,34,0,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,57,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77,142,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,159,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,37,0,0,0,0
8,2,35,2,55,129,2,62,0,0,0,0,0,0,0,0,1,16,10,0,8,0,0
44,22,24,8,130,845,76,417,0,0,0,0,0,0,0,0,15,183,250,0,20,0,0
25,5,14,5,135,405,56,327,0,0,0,0,0,0,0,0,16,182,364,0,9,0,0
97,400,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0
0,0,0,1,0,0,10,0,0,0,13,0,0,3,5,0,0,7,45,0,0,1,10
